SampleNo,CR,15ML,15L,25L,45L,75L,110L,15Ma,15a,25a,45a,75a,110a,15Mb,15b,25b,45b,75b,110b,15Mc,15c,25c,45c,75c,110c,15Mh,15h,25h,45h,75h,110h,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190,020,010
AUDI/VOLKS WAGEN LD1Z CK000,0.90253,78.04,73.71,60.76,44.82,36.58,33.13,19.34,19.42,17.47,13.4,10.71,9.81,58.82,58.4,54.29,48.18,42.89,40.4,61.92,61.54,57.03,50.01,44.21,41.58,71.8,71.61,72.16,74.46,75.98,76.36,8.83,4.44,3.59,27.84,17.74,7.23,5.08,0,21.74022017,0,0,0,4.952214163,0,8.452156149,0.147733342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.84969868,0,39.58508695,0,0,0,0,0,0.132679768,0,0,0,0,0,0,0,0,0,0,0,0,0,1.140210778,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LD1Z CK001,0.882925,73.44,70.01,58.96,44.64,36.99,33.58,13.61,14.1,14.66,12.97,11.21,10.36,46.88,48.99,49.14,46.43,42.24,40.07,48.82,50.98,51.28,48.21,43.7,41.38,73.81,73.94,73.39,74.39,75.13,75.51,8.3,4.53,3.34,27,18.33,6.84,5.14,0,21.6336789,0,0,0,4.607172358,0,7.82933141,0.149391448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.21232946,0,0,0,0,0,0,39.9995254,0,0,0,0,0,0.161002702,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407568325,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LD5H CK000,0.992551,99.12,93.04,70.19,38.04,19.11,12.12,-4.73,-4.67,-3.78,-2.26,-1.05,-0.51,-11.5,-10.52,-8.43,-5.84,-4.58,-4.24,12.44,11.51,9.24,6.26,4.7,4.27,247.64,246.06,245.88,248.79,257.04,263.16,9.52,7.38,6.49,25.77,26.93,21.82,7.4,5.528677888,0,0,0,0,17.96485509,12.88998634,31.00395835,0,0,0,0,0,0,0,0,0,0,0,0,15.7236732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.841715109,0,0,0,0,0,0,0,0,0,0,0,4.424764423,0,0,0,0.598362535,10.02400706,0,0,0,0,0,0,18.69,0
AUDI/VOLKS WAGEN LD5L CK001,0.994848,73.1,66.27,41.32,16.06,7.74,5.64,-18.67,-17.58,-11.68,-2.57,2.67,2.92,-28.35,-26.58,-21.55,-14.77,-10.43,-7.64,33.94,31.87,24.51,14.99,10.77,8.18,236.63,236.53,241.55,260.12,284.38,290.95,24.02,11.43,6.65,33.97,24.22,11.56,10.02,0,0,6.839203589,12.70999327,0,0,0,40.78076326,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72985633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.692757907,0,0,0,0,5.024974545,0,0.349579527,0,12.87287158,0,0,0,0,0,15.1,0
AUDI/VOLKS WAGEN LD5Q CK010,0.974576,26.51,24.85,14.33,4.78,3.34,2.76,-5.42,-7.4,-4.22,0.74,2.24,2.55,-37.89,-35,-26.35,-16.49,-12.4,-9.85,38.27,35.77,26.69,16.5,12.6,10.17,261.86,258.07,260.9,272.56,280.25,284.53,22.04,2.99,2.5,27.55,19.89,2,3.27,0,0,0.687639796,0.684623832,0,0,0,38.14674613,0,0,0,0,0,0,0,0,0,0,0,0,16.2449159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.71492301,0,2.211195652,0,0.840717629,0,4.469238058,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LD6T CK001,0.871705,118.65,109.72,79.9,42.59,24.61,18.7,-54.97,-50.84,-42.35,-30.14,-26.3,-25.42,14.29,12.87,8.67,3.06,0.59,0.46,56.8,52.45,43.23,30.3,26.31,25.42,165.43,165.79,168.43,174.21,178.72,178.97,9.83,7.05,6.21,25.51,26.17,19.8,6.24,0,0,0,4.516193056,0,31.03337712,11.37129873,4.273608971,0,0,0,0,0,0,0,0,11.3841866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.949645239,0,0,0,0,0,0,27.70570174,3.852766268,0,0,0.91322227,0,0
AUDI/VOLKS WAGEN LD6T CK002,0.996707,114.21,104.26,72.92,38.15,21.57,15.28,-45.62,-42.28,-33.43,-21.71,-16.12,-13.82,19.39,17.37,10.85,2.16,-1.71,-2.19,49.57,45.71,35.15,21.82,16.21,13.99,156.97,157.67,162.02,174.31,186.04,189.01,14.25,6.37,5.64,27.02,25.81,19.64,8.17,26.87082747,0,11.96084081,11.90838098,0,0,0,22.6846925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388006546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.213186266,0,19.69775746,0,0,5.276307964,0,0
AUDI/VOLKS WAGEN LD6T CK003,0.998284,115.97,108.24,81.76,47.04,28.87,21.98,-45.12,-41.99,-35.77,-25.78,-21.46,-20.16,17.17,15.53,10.84,3.46,-0.31,-0.74,48.28,44.77,37.38,26.02,21.47,20.17,159.17,159.7,163.14,172.36,180.82,182.09,13.65,7.16,6.01,25.19,26.76,20.95,7.03,41.84465258,0,10.7171877,10.67018249,0,0,0,8.60645451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762994145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422191236,0,1.380893587,0,20.6848685,0,0,4.910575259,0,0
AUDI/VOLKS WAGEN LG3L CK000,0.720137,36.46,34.46,33.19,32.44,32.95,31.96,49.36,52.65,53.96,54.85,54.61,53.14,23.75,28.2,30.89,32.42,29.7,28.7,54.77,59.73,62.17,63.72,62.17,60.39,25.7,28.18,29.79,30.58,28.53,28.37,1.02,0.04,1.2,1.2,0.03,0.64,1.37,0,0,0,0,0,0,0,1.007547887,2.883752713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.76450749,2.51738977,0,0,0,0,0,0,0,0,0,0,61.82680214,0,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LG6V CK003,0.997824,91.33,88.06,75.74,60.28,53.6,50.21,-5.95,-6.2,-8.5,-12.65,-15.17,-16.21,25.17,24.2,22.85,22.57,23.08,23.57,25.86,24.98,24.38,25.87,27.62,28.61,103.29,104.37,110.4,119.27,123.31,124.52,6.15,3.61,2.82,22.7,15.23,5.05,5.08,52.37622514,0,0,0,0,0,0,0,0.503548464,2.681328309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47084025,0,0,7.110015637,0,0,0,0,0,0,9.080377027,0,0,0,0,0,0,0,0,0,0,0,1.531624058,0,0,7.246041119,0,0,0,0,0,0
AUDI/VOLKS WAGEN LG6V CK004,0.99742,88.67,85.51,73.33,59.23,53.56,50.49,-7.92,-8.26,-10.58,-14.65,-16.94,-17.9,23.78,23.32,23.4,24.71,25.87,26.42,25.07,24.74,25.68,28.73,30.93,31.91,108.42,109.51,114.32,120.67,123.22,124.11,5.27,2.95,2.54,21.84,12.45,3.58,5.13,49.08444422,0,0,0,0,0,0,0,0.60246096,4.316841484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.84042955,0,0,0,0,0,0,0,0,6.569209571,0,0,0,0,0,0,10.63929879,0,0,0,0,0,0,0,0,0,0,0,1.577209447,0,0,9.37010598,0,0,0,0,16.48,0
AUDI/VOLKS WAGEN LH2U CK000,0.855841,80.25,76.18,59.83,39.09,28.36,23.93,32.21,31.04,27.36,22.9,21.45,21.2,67.7,64.34,52.73,39.59,33.21,29.99,74.97,71.43,59.4,45.74,39.54,36.72,64.55,64.25,62.58,59.95,57.14,54.75,10.16,5.61,4.43,27.26,22.82,14.45,5.86,4.517649285,0,0,0,0,0,10.52835669,2.145367697,0,0,0,0,0,0,0,0,41.53444127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59162475,5.294303015,0,18.09479067,0,0,0,0,0,0,0,1.043229005,0,0,0,0,10.25023762,0,0,0,0
AUDI/VOLKS WAGEN LK4Y CK001,0.953084,64.77,62.48,49.63,31.2,21.02,16.56,4.37,5.31,5.43,5.71,6.43,6.5,-9.86,-8.4,-7.64,-6.86,-6.7,-6.96,10.78,9.94,9.37,8.93,9.29,9.52,293.91,302.27,305.42,309.76,313.82,313.05,3.61,2.68,2.74,16.93,21.53,16.1,3.1,0,0,0,0,0,0,1.613199864,18.94094175,0.191516331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.60203889,0,0,0,0,0,0,0,0,0,4.865602289,0,0.300487925,0,0,0,0,6.877516248,0,0,0,0,0,0,0,0,0.500749327,17.10794738,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LK4Y CK005,0.977455,64.51,61.26,45.49,24.91,15.19,11.31,2.57,3.52,3.68,4.33,5.29,5.25,-9.47,-7.81,-6.79,-5.38,-4.15,-3.75,9.82,8.57,7.72,6.9,6.72,6.45,285.19,294.27,298.48,308.82,321.86,324.5,4.77,2.77,2.71,18.95,21.79,19.47,3.17,0.795057274,0,0,0,0,0,0,24.37280304,0.057870423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.81719956,0,0,0,0,0,0,0,0,0,5.84101085,0,0,0,0,0,0.585567399,0,0,0,0,0,0,0,0,0,0,22.01414468,2.516346766,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LN5Y CK002,0.995272,35.63,31.23,17.37,6.04,3.99,3.62,-4.19,-3.7,-0.47,3.22,4.08,3.79,-27.25,-25.12,-18.13,-10.48,-5.71,-3.98,27.57,25.39,18.13,10.96,7.02,5.49,261.25,261.63,268.51,287.07,305.58,313.65,13.64,3.31,3.14,35.01,22.86,8.77,4.2,1.83828464,0,0,0,0,0,0,48.02666871,0,0,0,0,0,0,0,0,0,0,0,9.12090487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364980579,0,0,0,0,0,0,0,0,7.121385076,0,10.10460197,0,8.449651818,0,0,0,14.97352234,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LP3G CK103,0.756468,34.46,34.44,34.09,33.86,34.19,33.06,61.75,62.76,62.6,62.68,62.49,60.72,51.06,52.93,52.75,52.73,51.78,49.93,80.12,82.1,81.86,81.91,81.15,78.61,39.59,40.15,40.12,40.07,39.64,39.43,0.96,0.15,1.42,0.74,0.08,1.99,0.65,0,0,0,0,0,0,0,0,0.751849098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.35224721,0,0,0.463020332,0,0,0,0,0,0,0,0,0,0,41.43288336,0,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LP6M CK001,0.652678,39.87,38.31,37.37,36.97,37.72,36.85,-47.69,-50.41,-51.66,-52.27,-50.84,-49.5,-5.94,-6.34,-6.31,-6.53,-7.91,-7.82,48.06,50.8,52.05,52.68,51.45,50.12,187.1,187.16,186.96,187.12,188.84,188.98,1.75,0.6,1.18,6.55,0.43,3.74,0.78,0,0,0,0,0,0,0,0.232276491,3.10371321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.74973774,0,0,0,0,0,0,0,0,0,0,46.91427255,0,0,0,0,0
AUDI/VOLKS WAGEN LP6M CK002,0.694692,35.03,33.85,33.25,32.94,33.73,32.93,-48.28,-49.42,-49.7,-49.9,-48.48,-47.36,-4.05,-4.54,-4.58,-4.8,-6.2,-6.14,48.45,49.63,49.91,50.13,48.87,47.75,184.79,185.25,185.27,185.49,187.29,187.39,1.64,0.77,1.38,6.33,0.81,2.13,0.73,0,0,0,0,0,0,0,0,2.35530542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.47552165,0,0,0,0,0,0,0,2.133207717,0,0,53.03596521,0,0,0,0,0
AUDI/VOLKS WAGEN LP7X CK000,0.990731,132.87,125.06,100.49,62.67,43.03,37.38,-5.34,-4.54,-4.1,-3.77,-4.24,-5.33,4.28,3.93,2.43,-0.06,-2,-2.77,6.85,6.01,4.77,3.77,4.69,6.01,141.3,139.15,149.4,180.98,205.24,207.44,11.42,7.29,6.16,21.51,26.12,18.22,5.9,30.91346051,0,9.68367065,0,27.09982458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7381931,0,0,0,0,0,0,0,1.40915714,1.134462007,0,0,0,0,0,0,0,0,0,0,0,2.296806533,0,0,0,0,0,0,0.577804647,0,0,0,0,0,0,0.14662083,0,0
AUDI/VOLKS WAGEN LR5V CK002,0.857031,47.5,45.69,34.87,20.06,12.08,8.49,-1.35,-1.65,-0.24,3.3,7.13,8.49,-35.7,-33.25,-28.51,-22.91,-19.62,-17.7,35.72,33.29,28.51,23.14,20.88,19.63,267.84,267.16,269.53,278.2,289.96,295.63,4.57,3.92,4.88,23.3,27.28,17.94,1.97,0,0,0,0,0,0,0,16.37423192,0,0,0,0,0,0,0,0,0,0,0,0,17.39722055,0,0,0,0,0,0,32.63597702,0,0,0,0,0,0,0,0,0,10.85163205,0,0,0,0,0,0,0,0,0,0,8.502900425,0,0,0,0,1.601243492,0,12.63679455,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LR5Y CK001,0.91833,77.31,73.81,57.48,33.34,18.56,12.79,-11.1,-10.07,-6.58,-0.13,6.81,9.24,-36.49,-34.71,-31,-24.68,-21.27,-19.48,38.14,36.14,31.69,24.68,22.34,21.57,253.08,253.82,258.02,269.71,287.74,295.38,5.51,3.79,3.75,21.89,22.69,19.87,6.15,13.85707324,0,0,0,0,0,32.25343551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988239549,12.30215899,0,0,0,0.563000204,0,0,0,0,0,0,0,9.958513581,0,0,0,0,0,0,9.299133439,20.77844549,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LR7L CK002,0.955419,138.96,129.17,100.24,60.88,43.27,39.06,-0.64,-0.33,-0.59,-1.16,-1.54,-2.02,17.52,15.51,9.81,0.85,-4.74,-5.85,17.53,15.51,9.83,1.44,4.98,6.2,92.09,91.21,93.41,143.83,251.98,250.92,8.63,8.37,6.87,21.7,25.33,19.01,5,0,0,0,0,0,52.06314279,5.999000938,0,0,0.064198834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5826841,0,0,4.939115429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528156442,1.204038782,0,0,0,0,0,0.619662679,0,0
AUDI/VOLKS WAGEN LV7W CK001,0.999259,24.98,23.48,22.83,22.35,23.63,22.94,-1.37,-1.25,-1.15,-1.18,-0.78,-0.77,1.08,0.32,0.04,-0.6,-2.43,-2.47,1.74,1.3,1.15,1.33,2.56,2.59,141.82,165.49,177.87,206.88,252.13,252.66,1.32,0.96,1.4,5.3,1.31,2.53,0.92,0,0,0,0,0,0,0,49.94628898,1.624313433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379966742,0,2.822152389,0,0,0,0,0,0,0,0.114501309,0,0,0,0,45.11277714,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LW5Z CK001,0.909643,30.92,29.65,26.63,24.98,25.63,24.9,3.28,3.82,5.55,6.89,7.63,7.5,-41.26,-41.47,-41.32,-41.79,-42.64,-41.89,41.39,41.65,41.69,42.35,43.32,42.55,274.54,275.26,277.65,279.36,280.15,280.15,3.56,1.28,2.47,25.07,3.52,9.59,1.27,0,0,0,0,0,0,0,0,1.815671911,0,0,0,0,0,0,0,0,0,0,0,9.815254546,0,0,0,0,3.970773015,0,3.561287048,0,0,0,0,0,0,0,0,0,0,0,0.448869993,0,0,0,0,64.66990505,0,0,0,0,11.02409762,0,4.694140817,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LW5Z CK102,0.490449,37.65,36.29,31.11,27.76,27.65,26.68,4.66,2.94,3.82,5.16,6.04,6.09,-47.44,-46.21,-42.97,-42.09,-42.39,-41.54,47.67,46.31,43.14,42.41,42.82,41.98,275.61,273.64,275.08,276.99,278.12,278.34,4.38,1.64,1.62,26.74,6.12,4.06,1.64,0,0,0,0,0,0,0,0,1.388777786,0,0,0,0,0,0,0,0,0,0,0,24.70682012,14.77637327,0,0,0,7.536279464,0,1.810023452,0,0,0,0,0,0,0,0,0,0,0,0.595233009,0,0,0,0,0,0,40.44084723,0,0,0,0,8.745645667,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LX1Y CK001,0.999705,122.17,114.73,87.96,49.32,27.66,19.52,-1.33,-1.02,-0.45,-0.08,0.19,0.17,3.63,3.51,2.13,0.87,0.66,0.47,3.86,3.65,2.18,0.87,0.69,0.5,110.08,106.21,102.03,95.32,74.03,69.58,7.35,7.36,7.26,20.67,27.01,23.17,6.14,37.02513068,0,0,0,0,16.35345221,0,31.31367525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.06275318,0,0,0,0,0,0,0,0,0,0,0.42188132,0,0,0,0,0,0,0,0,0,0,0,0.576140165,0,0,0,0.246967187,0,0,0,0,0,0,0,3.78,0
AUDI/VOLKS WAGEN LX5X CK002,0.985565,83.75,77.53,57.24,36.82,30.56,27.92,-3.21,-2.68,-2.9,-3.72,-3.9,-4.04,14.8,13.06,4.88,-6.24,-12.1,-13.53,15.14,13.33,5.68,7.26,12.71,14.13,102.24,101.61,120.77,239.17,252.14,253.37,12.36,6.77,4.41,33.08,24.62,11.92,7.34,0,0,0,7.646841224,0,7.646841224,0,27.63679273,0.431435197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.26433727,0,0,9.466946961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.248085421,0,0.932211382,0,0.726508581,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LX7V CK001,0.999626,106.45,100.15,78.33,48.1,31.74,25.05,-3.37,-3.04,-2.51,-1.55,-0.48,-0.16,-2.85,-2.73,-3.32,-3.33,-3.46,-4.05,4.41,4.08,4.16,3.67,3.49,4.05,220.27,221.88,233,245.12,262.18,267.7,6.4,5.41,4.29,20.68,24.13,18.62,6.54,49.56034505,0,0,0,0,0,0,0,0.164834097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3004717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289290943,0,0,0,0,0,0,0,1.024287104,0,0,0,0,0,0.28913522,32.14530761,2.226328275,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LX7Z CK003,0.998597,71.97,68.09,49.25,25.39,12.99,8.04,-1.85,-2.4,-1.65,-0.96,-0.21,0.11,-1.78,-0.86,0.23,0.41,-0.51,-1.04,2.57,2.55,1.67,1.05,0.55,1.05,223.77,199.74,172.04,156.81,247.45,276.03,11.13,7.88,6.65,29.27,27.2,23.85,4.53,0,0,0,0,0,0,0,45.74862852,0,0,0,0,0,0,0,0,0,0,32.81657358,9.573313755,0.503531438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237849376,0.428407063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541160247,9.645504642,0.505031382,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LY1X CK000,0.991334,104.31,98.41,77.44,51.61,39.97,35.43,1.5,1.5,0.59,-1.14,-1.88,-2.35,13.62,12.27,8.24,5.42,3.88,3.08,13.7,12.36,8.26,5.54,4.31,3.88,83.71,83.01,85.91,101.83,115.91,127.39,6.74,4.99,3.46,22.74,21.51,11.1,6.46,34.19378601,0,0,0,0,0,0,0,0.432280624,0.588923182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9894083,0,2.198646548,1.099010966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523890616,21.97405376,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LY3D CK103,0.621824,29.97,29.81,29.45,29.2,29.6,28.64,58.12,59.01,58.85,58.87,58.67,57.05,40.79,42.32,42.33,42.2,40.51,39.12,71.01,72.62,72.49,72.43,71.3,69.18,35.06,35.64,35.73,35.63,34.63,34.44,1.36,0.96,1.75,2.55,0.8,3.12,0.72,0,0,0,0,0,0,0,0,0.82282053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47455892,5.983644298,0,0,0,0,0,0,0,0,0,0,0,0,74.71897625,0,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LY3D CK108,0.501747,31.2,29.4,28.14,27.4,27.56,26.68,49.16,52.13,53.33,54.15,54.16,52.75,26.9,32.88,36.94,39.45,39.82,38.55,56.03,61.63,64.87,67,67.22,65.33,28.68,32.24,34.71,36.07,36.33,36.16,2.73,1.38,1.21,15.94,2.39,1.7,0.87,0,0,0,0,0,0,0,1.294021416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92266508,0,0,0,0,0,0,0,0,63.75059488,0,0,12.03271862,0,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LY3Z CK001,0.790208,75.26,69.54,49.29,25.96,16.87,14.36,66.76,61.96,48.71,31.96,25.6,23.95,52.43,48.44,38.19,25.36,19.99,17.67,84.88,78.65,61.89,40.8,32.48,29.76,38.14,38.01,38.1,38.44,37.98,36.41,7.75,4.8,3.48,27.17,23.84,16.82,5.59,0,0,0,0,0,19.7797737,8.477045873,1.297563743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48335707,0,35.42731786,0,0,0,0,17.53494174,0,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LY5J CK001,0.97478,121.38,112.69,82.8,47.22,30.69,24.98,-10.61,-9.7,-8.56,-7.95,-8.65,-9.53,-13.03,-12.18,-10.48,-7.51,-6.94,-7.48,16.8,15.58,13.54,10.94,11.09,12.11,230.86,231.47,230.75,223.35,218.74,218.12,10.88,8.66,6.92,28.09,25.34,19.25,6.66,10.4743228,0,0,21.38413307,0,21.38413307,0,6.642948864,0.061550728,0.406228184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.048523,0,0,0,0,0,0,0,0,0,0,0,0,0,16.46743183,0,0,0,0,1.130728448,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LY5M CK001,0.766934,24.94,23.82,23.3,23.07,24.28,23.58,12.29,13.17,13.46,13.59,13.88,13.65,-31.02,-31.99,-32.25,-32.65,-33.61,-33.1,33.37,34.6,34.94,35.36,36.36,35.8,291.61,292.37,292.65,292.6,292.45,292.42,1.18,0.78,1.58,2.62,0.3,1.55,0.88,0,0,0,0,0,0,0,9.89683931,6.717648037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.60565547,0,0,0,0,0,0,0,0,0,0,0,36.84077652,0,0,0,0,8.939080667,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LY8T CK101,0.997818,52.59,47.58,30.66,14.26,10,8.73,4.12,4.18,3.32,1.38,0.34,0.02,21.74,20.5,14.37,5.25,0.94,-0.02,22.13,20.92,14.75,5.42,1,0.03,79.27,78.49,76.99,75.24,70.21,319.29,30.67,14.42,5.37,30.34,19.83,16.53,9.16,0,0,3.318676828,3.304121228,0,0,0,47.9751578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.355554257,0,0,3.849210757,0,0,0,0,0,0,0,1.160829179,4.619730993,0,0,0,0,0,0,0,0,0,0.738013947,26.67870501,0,0,0,0,0,0,27.71,0
AUDI/VOLKS WAGEN LZ3N CK001,0.783707,28.11,24.14,13.5,7.56,7.4,6.99,41.39,38.01,27.38,20.14,18.9,17.74,-2.12,-1.1,2.62,5.19,6.01,5.71,41.44,38.02,27.5,20.8,19.84,18.64,357.06,358.34,5.46,14.46,17.65,17.83,10.2,2.73,2.64,32.01,9.22,5.19,2.26,0,0,0,0,0,0,0,1.976132731,0,0,0,0,0,6.311775294,9.475231016,0,0,0,0,3.155887647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8319499,0,0,0,1.189175055,0,0,0,0,0,0,0,0,0,0,16.83022134,17.22962701,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LZ5B CK001,0.924198,48.19,46.37,33.23,17.57,11.45,8.91,-10.07,-11.66,-9.29,-4.79,-1.2,0.26,-30.62,-27.99,-21.3,-15.27,-13.43,-12.19,32.23,30.32,23.23,16,13.49,12.2,251.8,247.39,246.44,252.59,264.9,271.22,9.74,5.8,5.32,27.76,25.8,13.2,2.91,0,0,0,0,0,0,0,21.76274653,0.058173958,0,0,0,0,0,0,0,0,0,21.8498306,0,20.21517993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.550391284,0,0,3.31108867,0,0.539215874,19.65667429,10.05669886,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LZ5F CK001,0.548571,44.86,43.56,35.75,25.59,21.14,19.06,-10.94,-12,-9.93,-5.28,-1.14,0.54,-42.63,-41.13,-37.56,-35.05,-35.53,-35.15,44.01,42.84,38.85,35.45,35.54,35.16,255.6,253.74,255.19,261.43,268.16,270.88,6.66,3.39,2.81,29.8,24.79,16.11,4.02,3.244433441,0,0,0,0,0,7.55059698,7.716170785,0.50479622,0,0,0,0,0,0,0,0,0,0,0,33.43752832,0,0,0,0,0,0,0,0,0,0,0,0,0,2.748588905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.42951688,0,3.737142448,0,1.63122602,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LZ5G CK000,0.969821,56.04,52.75,36.37,17.92,10.44,7.83,-7.55,-9.55,-7.08,-1.46,3.22,4.44,-41.12,-37.16,-27.01,-19.46,-17.14,-15.14,41.81,38.37,27.92,19.51,17.44,15.78,259.59,255.59,255.31,265.71,280.62,286.35,7.75,4.39,3.94,28.88,27.65,14.3,4.76,0,0,0,0,0,0,3.657461529,26.36040358,0,0,0,0,0,0,0,0,0,0,14.75474373,0,25.23061177,0,0,0,0,3.24604362,0,0,0,0,0,0,0,1.546194277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46087413,0,0,0,16.74366736,0,0,0,0,0,0,0
