(renkenv310) C:\Users\TAC7\Desktop\RenkAI>python optimize_model.py
📂 Veri önbelleğe alınıyor...
🚀 Hiperparametre Optimizasyonu Başlıyor... (Cihaz: cuda)
⚠️ Bu işlem uzun sürebilir. Arkana yaslan ve kahve al.
🧬 Deneme: LR=0.00636, Hid=251, Emb=25, Drop=0.09, Batch=54 -> 📉 DeltaE: 5.4423
🧬 Deneme: LR=0.00259, Hid=218, Emb=45, Drop=0.07, Batch=125 -> 📉 DeltaE: 4.4009
🧬 Deneme: LR=0.00718, Hid=226, Emb=46, Drop=0.05, Batch=60 -> 📉 DeltaE: 4.9605
🧬 Deneme: LR=0.00809, Hid=127, Emb=41, Drop=0.01, Batch=53 -> 📉 DeltaE: 4.6349
🧬 Deneme: LR=0.00373, Hid=219, Emb=17, Drop=0.06, Batch=79 -> 📉 DeltaE: 4.6611
🧬 Deneme: LR=0.00236, Hid=169, Emb=37, Drop=0.01, Batch=34 -> 📉 DeltaE: 4.2208
🧬 Deneme: LR=0.00381, Hid=203, Emb=32, Drop=0.20, Batch=102 -> 📉 DeltaE: 4.9232
🧬 Deneme: LR=0.00746, Hid=155, Emb=14, Drop=0.05, Batch=56 -> 📉 DeltaE: 4.5528
🧬 Deneme: LR=0.00832, Hid=245, Emb=44, Drop=0.14, Batch=52 -> 📉 DeltaE: 6.2509
🧬 Deneme: LR=0.00168, Hid=229, Emb=27, Drop=0.12, Batch=71 -> 📉 DeltaE: 4.5164
🧬 Deneme: LR=0.00716, Hid=243, Emb=44, Drop=0.03, Batch=89 -> 📉 DeltaE: 4.7106
🧬 Deneme: LR=0.00496, Hid=36, Emb=44, Drop=0.03, Batch=89 -> 📉 DeltaE: 4.8155
🧬 Deneme: LR=0.00307, Hid=153, Emb=29, Drop=0.20, Batch=122 -> 📉 DeltaE: 5.2423
🧬 Deneme: LR=0.00834, Hid=184, Emb=26, Drop=0.26, Batch=106 -> 📉 DeltaE: 5.6745
🧬 Deneme: LR=0.00595, Hid=61, Emb=44, Drop=0.04, Batch=102 -> 📉 DeltaE: 4.3787
🧬 Deneme: LR=0.00248, Hid=112, Emb=8, Drop=0.03, Batch=52 -> 📉 DeltaE: 4.9755
🧬 Deneme: LR=0.00039, Hid=214, Emb=39, Drop=0.28, Batch=76 -> 📉 DeltaE: 7.1393
🧬 Deneme: LR=0.00461, Hid=223, Emb=36, Drop=0.03, Batch=78 -> 📉 DeltaE: 4.4537
🧬 Deneme: LR=0.00179, Hid=62, Emb=29, Drop=0.07, Batch=30 -> 📉 DeltaE: 4.7024
🧬 Deneme: LR=0.00480, Hid=241, Emb=8, Drop=0.03, Batch=65 -> 📉 DeltaE: 5.0556
🧬 Deneme: LR=0.00145, Hid=251, Emb=41, Drop=0.16, Batch=89 -> 📉 DeltaE: 4.7670
differential_evolution step 4: f(x)= 3.9033539295196533
🧬 Deneme: LR=0.00510, Hid=240, Emb=27, Drop=0.07, Batch=57 -> 📉 DeltaE: 4.8981
🧬 Deneme: LR=0.00385, Hid=180, Emb=30, Drop=0.16, Batch=16 -> 📉 DeltaE: 5.7499
🧬 Deneme: LR=0.00464, Hid=153, Emb=30, Drop=0.15, Batch=122 -> 📉 DeltaE: 4.7197
🧬 Deneme: LR=0.00367, Hid=168, Emb=23, Drop=0.19, Batch=92 -> 📉 DeltaE: 5.1647
🧬 Deneme: LR=0.00715, Hid=216, Emb=37, Drop=0.09, Batch=86 -> 📉 DeltaE: 4.7798
🧬 Deneme: LR=0.00366, Hid=218, Emb=32, Drop=0.07, Batch=113 -> 📉 DeltaE: 4.2073
